TILEID,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,NEXP,EXPTIME,TILERA,TILEDEC,EFFTIME_ETC,EFFTIME_SPEC,EFFTIME_GFA,GOALTIME,OBSSTATUS,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GOALTYPE,MINTFRAC,LASTNIGHT
80687,sv1,dark,elg,sv1elg,6,6084.0,130.7,19.0,0.0,4300.9,0.0,4000.0,obsend,4025.3,4300.9,4115.5,4868.6,dark,0.9,20210305
80709,sv1,dark,elg,sv1elg,13,11462.0,198.0,7.0,0.0,6487.7,0.0,4000.0,obsend,6083.0,6487.7,6204.5,6673.7,dark,0.9,20210306
80694,sv1,dark,lrgqso,sv1lrgqso,19,14844.0,162.0,83.0,0.0,5382.4,0.0,4000.0,obsend,5087.4,5382.4,5151.3,4139.8,dark,0.9,20210306
80741,sv1,bright,bgsmws,sv1bgsmws,2,600.2,139.0,0.5,0.0,297.4,0.0,600.0,obsstart,278.7,300.6,297.4,199.7,bright,0.9,20210306
80703,sv1,dark,elg,sv1elg,11,9111.3,172.0,32.375,0.0,4716.1,0.0,4000.0,obsend,4299.4,4716.1,4428.3,4077.2,dark,0.9,20210306
80643,sv1,bright,bgsmws,sv1bgsmws,13,3900.9,114.0,32.375,0.0,1472.4,0.0,600.0,obsend,1396.6,1552.5,1472.4,977.1,bright,0.9,20210308
80696,sv1,dark,lrgqso,sv1lrgqso,8,8421.3,146.0,70.0,0.0,5669.9,0.0,4000.0,obsend,5091.8,5669.9,4912.1,3275.0,dark,0.9,20210309
80686,sv1,dark,lrgqso,sv1lrgqso,14,14226.9,124.0,34.3,0.0,6181.1,0.0,4000.0,obsend,5798.6,6181.1,5919.0,6128.0,dark,0.9,20210309
80721,sv1,other,ssv,sv1ssv,10,2986.9,114.54,39.38,0.0,1310.1,0.0,1000.0,obsend,1211.2,1310.1,1273.2,900.5,other,0.9,20210309
80691,sv1,dark,elg,sv1elg,6,5508.6,135.0,32.375,0.0,4357.3,0.0,4000.0,obsend,4059.0,4357.3,4096.5,4255.8,dark,0.9,20210309
80867,sv1,other,unwisebluefaint,sv1unwisebluefaint,5,4500.3,242.75,54.98,0.0,6432.0,0.0,1000.0,obsend,6245.9,6432.0,6173.6,8408.0,other,0.9,20210314
80866,sv1,other,unwisebluebright,sv1unwisebluebright,2,1800.1,242.75,54.98,0.0,2439.1,0.0,1000.0,obsend,2374.5,2439.1,2339.7,2976.7,other,0.9,20210314
80679,sv1,dark,elgqso,sv1elgqso,12,7917.0,111.0,41.5,0.0,3881.4,0.0,4000.0,obsend,3578.9,3881.4,3608.3,3029.2,dark,0.9,20210315
80863,sv1,other,mwclusgaldeep,sv1mwclusgaldeep,8,7200.4,198.3,17.5,0.0,6327.1,0.0,1000.0,obsend,5945.1,6327.1,6014.0,6296.0,other,0.9,20210316
80698,sv1,dark,lrgqso,sv1lrgqso,11,8932.2,149.0,32.375,0.0,7687.7,0.0,4000.0,obsend,7192.3,7687.7,7278.9,7738.9,dark,0.9,20210318
80695,sv1,dark,elg,sv1elg,15,14625.4,141.5,69.5,0.0,5653.3,0.0,4000.0,obsend,5121.9,5653.3,5020.4,3015.1,dark,0.9,20210318
80888,sv1,dark,elg,sv1elg,1,694.5,196.0,32.375,0.0,881.7,0.0,4000.0,obsstart,822.7,881.7,815.9,763.5,dark,0.9,20210318
